lineage,CRYAA,CRYAB,DNAJA1,DNAJA2,DNAJA3,DNAJA4,DNAJB1,DNAJB11,DNAJB12,DNAJB13,DNAJB14,DNAJB2,DNAJB4,DNAJB5,DNAJB6,DNAJB7,DNAJB8,DNAJB9,DNAJC1,DNAJC10,DNAJC11,DNAJC12,DNAJC13,DNAJC14,DNAJC15,DNAJC16,DNAJC17,DNAJC18,DNAJC19,DNAJC2,DNAJC21,DNAJC22,DNAJC24,DNAJC25,DNAJC27,DNAJC28,DNAJC3,DNAJC30,DNAJC4,DNAJC5,DNAJC5B,DNAJC6,DNAJC7,DNAJC8,DNAJC9,GAK,HSCB,HSP90AA1,HSP90AB1,HSP90B1,HSPA12A,HSPA12B,HSPA13,HSPA14,HSPA1A,HSPA1B,HSPA1L,HSPA2,HSPA4,HSPA4L,HSPA5,HSPA6,HSPA8,HSPA9,HSPB1,HSPB11,HSPB2,HSPB3,HSPB6,HSPB7,HSPB8,HSPB9,HSPD1,HSPE1,HSPH1,HYOU1,ODF1,SACS,SEC63,TRAP1
Ovarian Cancer,0.083819355,0.061781715,-0.282035343,-0.081131017,-0.75189359,0.056002963,-0.193440238,-0.234230381,-0.268108099,-0.010676369,0.130104378,0.073606644,0.023771004,0.009042971,-0.300392663,-0.045543253,-0.122042929,-0.018546919,0.038513814,-0.03275807,-0.773856502,0.072928694,-0.603610512,-0.090378661,0.144876995,-0.055097098,-1.114750424,0.095147064,-0.676869876,-0.544723867,-0.186071792,-0.142784203,-0.396710507,-0.071591117,0.220114687,0.038364076,-0.195557248,-0.024153252,0.115869668,0.029244372,0.001089983,-0.006911703,-0.026571221,-0.705063318,-0.886228191,-0.263163531,-0.824576809,-0.355869148,-0.193530851,-0.262801265,0.097714391,0.0718637,-0.137277912,-0.774622831,-0.282693309,-0.175629624,-0.093423182,0.092585154,0.119762105,-0.004713496,-1.003743899,-0.10031618,-0.215532412,-1.190868492,0.131265477,-0.026890701,-0.120850264,0.113528953,-0.103606029,-0.143593365,0.073954616,-0.097271282,-1.009999101,-1.32033529,-0.005017028,-1.125523514,0.035253133,-0.032887518,-0.518209748,-0.065921312
Lymphoma,0.012886397,0.094894434,-0.779184901,-0.042486491,-0.705617013,0.224385134,-0.46599596,-0.474975858,-0.29829734,-0.125073957,0.209429361,0.16420765,0.014242132,0.138064966,-0.38305786,0.205287822,-0.191547366,-0.047508851,0.212943382,-0.032470489,-0.626700312,0.080353668,-0.728410685,-0.237072593,-0.079921063,-0.049954653,-1.129714932,0.158364312,-0.453486418,-0.243469324,-0.01213649,-0.19080215,-0.115224375,0.298031336,0.132912188,0.103867516,0.095007933,-0.33322997,0.07199022,0.101808319,-0.117280926,-0.197206909,0.040679486,-0.986246065,-1.164445807,-0.416468014,-0.459160867,-0.360867749,-0.272980733,-0.355925441,0.10580478,0.140104504,-0.162158642,-0.895123143,-0.376662264,-0.21080175,-0.115746666,0.280019879,-0.144487739,-0.053829239,-0.794708655,-0.238716902,-0.10866304,-1.245966286,0.007187757,0.12714974,-0.017992384,0.126656341,-0.110222827,-0.24662444,0.293188423,-0.018571996,-0.827529765,-1.587267753,-0.118499807,-1.063802215,-0.209323745,-0.052528078,-0.825024072,0.074299839
Breast Cancer,0.015810581,0.111690146,-0.426421101,-0.092725938,-0.471833148,0.110121543,-0.244856138,-0.209390278,-0.256033184,-0.061486697,0.160775113,-0.081973352,-0.006580427,0.051608588,-0.15061359,-0.022737955,-0.091001944,-0.194572113,0.042002849,0.010762228,-0.3616765,-0.148606271,-0.286008686,-0.093465361,-0.040168661,-0.249930732,-1.781810166,0.037867302,-0.041267987,0.149934363,0.074824321,-0.125060549,-0.003384761,0.024756872,0.230505236,0.016683951,0.079401007,-0.129130611,0.065686775,-0.015702623,-0.079365405,-0.088801993,-0.020509216,-0.792683529,-1.148721897,-0.814457478,-0.26598577,-0.063406098,-0.236854874,-0.301235827,0.04507433,0.011346733,-0.322666432,-0.151929162,-0.204758951,-0.141844199,0.00582042,0.109328086,-0.09793993,0.024454252,-1.450033275,-0.094337033,-0.303988482,-1.26751666,0.005122124,-0.010592335,-0.053547391,-0.013103628,0.035279929,-0.178821476,0.007865226,-0.171348257,-0.982451211,-1.835701098,-0.119882447,-1.154473311,-0.198346132,0.016043486,-0.41290365,-0.110181759
Ovarian Cancer,-0.018159985,0.189777234,-0.344870968,-0.011932061,-0.455753096,0.298569377,0.001422588,-0.410748467,0.081872809,0.16639268,0.317834778,0.113078951,0.138559311,0.019007625,-0.337837296,-0.075415031,-0.213686676,0.066285868,0.174623377,-0.103579061,-0.615612114,-0.054712727,-0.205092772,-0.1198274,0.136103572,-0.008539387,-1.475890122,-0.098991744,-0.178610934,0.264695711,0.198175809,0.007358342,0.095528978,0.00473023,0.247049464,0.050585089,0.039476878,-0.079994488,0.221839563,-0.028088918,-0.053559634,0.037242453,-0.038999089,-0.67187348,-0.733110055,-0.231043026,-0.322673588,0.212966169,-0.016027411,-0.252167683,0.032546725,0.135630367,-0.258759584,-0.114619543,-0.222791326,-0.083129139,-0.173424061,-0.077942862,0.045995214,0.052165343,-1.259531642,-0.094824589,0.129483943,-1.186911475,0.140153818,0.180938618,-0.179317331,0.3002157,0.130846516,-0.207367571,0.076325276,-0.128243628,-0.804573939,-1.922927415,-0.091242707,-0.68866792,-0.116006296,-0.015716037,-0.498610148,-0.097899652
Lung Cancer,-0.013575985,0.043318068,-0.255906238,0.211612135,-0.906787358,-0.041552507,-0.383128899,-0.097601071,-0.220935388,-0.186616562,0.115203988,-0.060943418,-0.017727657,-0.113691628,-0.023757189,0.092271137,-0.034785638,-0.010611662,0.063652203,-0.022019639,-0.801880318,0.093252996,-0.121840376,-0.137931359,-0.110031689,-0.037177904,-1.196745475,0.076835564,-0.097256512,-0.20144863,-0.107247346,-0.108901839,-0.024222135,0.110156479,0.162916952,0.076720451,0.064286764,-0.122373194,0.024043007,0.068976263,-0.055540653,-0.086195671,-0.020054117,-0.647249397,-0.490363993,-0.383427184,-0.780419455,-0.115304254,-0.171369244,-0.551500502,0.090764288,0.130670948,-0.026604286,-0.630777497,-0.192329666,-0.205622634,0.053500537,0.149862359,0.052095696,0.112761704,-1.100609911,-0.128353011,-0.225558219,-1.085480101,0.137347953,0.008934894,-0.064547431,0.026099796,-0.040917919,-0.017773341,0.043994175,-0.157967173,-1.131468841,-1.822692796,0.024739155,-1.19860295,-0.157909496,-0.066686443,-0.583081,-0.107087415
Breast Cancer,0.095056222,0.113952696,-0.523087134,-0.05556917,-0.569979941,0.029733899,-0.17887583,-0.094762181,-0.396032947,-0.086968211,0.075997955,0.08440653,0.003371368,-0.035000466,-0.416124332,-0.117402186,-0.024009197,0.038121453,0.078186011,-0.044743479,-0.951518023,0.015083009,0.139356852,-0.009021616,0.032008722,-0.131526892,-1.216408819,0.015180916,0.005814444,-0.167528209,-0.048123083,-0.149457689,-0.305664787,-0.033162319,0.186513803,0.054723305,0.096949686,-0.13328375,0.072899951,0.01938988,-0.084963437,-0.014997689,-0.063097509,-0.703263631,-0.514445618,-0.779165518,-0.875204692,-0.076244704,-0.597853895,-0.107962024,0.01009054,0.056907354,-0.432890798,-0.324239729,-0.331088982,-0.335605088,-0.136343562,0.038341058,-0.019700671,0.009517078,-0.922272291,0.098872844,-0.196934274,-1.328913278,0.058123481,0.002271548,-0.043284702,0.069829694,0.052874811,-0.256292063,0.005138543,-0.048980915,-0.977282642,-1.483916634,-0.08292177,-0.965588367,-0.046408429,0.075700196,-0.470213842,-0.038915375
Ovarian Cancer,0.030521777,0.236366229,-0.409382292,-0.075916223,-0.668713318,0.163736043,-0.295585045,-0.224561603,-0.09275651,-0.275448303,0.179124981,0.066565109,-0.133403758,-0.056602361,-0.357891167,0.082073443,0.02100703,0.095023882,0.227188006,0.091636065,-0.326468309,0.165082069,-0.102905536,-0.058676315,0.202182295,-0.018381794,-1.284558633,0.139399607,-0.300093412,0.062708185,0.1828721,0.00274339,-0.100802227,0.148475947,0.430142988,-0.164113725,0.308090711,-0.368718571,0.007503039,0.265634029,-0.243099373,-0.059709343,-0.144789033,-0.77283237,-0.484153377,-0.239835945,-0.425908542,-0.179553574,-0.420655849,-0.625630069,0.228915319,-0.058421959,-0.577866877,-0.182010861,-0.388531008,-0.29687974,-0.262051674,0.30461919,0.090218383,0.018654042,-0.921906523,0.145212421,0.056140321,-1.235710566,0.242462001,0.153671898,-0.05010269,0.015378212,0.130449003,-0.275441295,-0.043343086,-0.095641647,-0.826741494,-1.413571848,-0.021109128,-1.176539707,-0.198636168,0.055518915,-0.657723283,-0.12322445
Myeloma,-0.055527655,0.004981423,-0.447092666,0.023710131,-0.77814442,-0.116703459,-0.310788934,-0.171441895,-0.308483412,-0.20801521,0.196632757,0.10140895,0.059862016,0.004582822,-0.626648389,-0.192217013,-0.193561643,-0.004162588,-0.019994286,-0.009854866,-1.011465699,0.065342726,-0.134623957,-0.27960942,0.078746051,-0.060523386,-1.096557023,0.090645836,0.008224061,-0.18869417,0.111075382,-0.228979431,-0.103719494,0.105613581,0.249251809,0.002668607,0.013639192,-0.346432422,-0.067940766,-0.000105824,-0.131963547,-0.001967835,-0.41911722,-0.710616953,-1.308181146,-0.938228158,-0.638168659,-0.312994768,-0.341474922,-0.761867317,0.082357073,0.008351837,0.073136291,-0.646417281,-0.352920447,-0.389850627,-0.192736265,0.119358728,0.075461645,0.110618105,-0.882112916,-0.024000366,-0.790789557,-1.40395593,0.170001148,0.13791521,-0.088882327,-0.089501045,0.051887499,-0.205915948,-0.159538944,-0.251159736,-0.562243398,-1.278391367,0.070132291,-1.173226827,-0.03082747,0.041172903,-0.553475568,-0.23591812
Lung Cancer,0.042231143,0.069509188,-0.398176429,-0.270647601,-0.503052546,0.019706556,-0.356251064,-0.365102328,-0.271965594,-0.055666498,0.092536466,0.04469022,0.048671155,0.112630751,-0.218573457,0.015012206,-0.20728536,-0.017288844,0.079049352,-0.155195463,-0.763767551,-0.042347453,-0.419496522,0.039658627,-0.044604229,-0.173817439,-1.393737041,-0.03149584,-0.283498098,-0.120511793,-0.171765671,-0.1046022,0.061706968,-0.230215277,0.082356003,-0.050709506,-0.030970237,-0.015199718,0.042226099,0.001992496,-0.286684075,0.040767295,-0.123238458,-0.588608815,-0.799202194,-0.396205388,-0.316853601,-0.099716979,-0.217937032,-0.558705728,-0.01439016,-0.069931639,-0.53021702,-0.162850845,-0.125102455,-0.345212137,-0.317472897,0.105767021,-0.234417403,-0.043211438,-0.883873846,0.122689322,-0.431649171,-1.229044666,0.119078038,-0.143169065,0.073440186,-0.011642293,0.008347891,-0.070058066,-0.042025879,-0.17841264,-0.818156526,-1.464124303,-0.015959589,-1.227766518,-0.197783798,-0.012725861,-0.484490918,0.011871559
Bladder Cancer,-0.02174797,0.068502986,-0.387985182,-0.081267615,-0.602130019,0.000394365,-0.097288825,-0.183145973,-0.303636924,-0.027506711,0.047796158,0.089843271,-0.016255465,0.071882377,-0.495214164,0.13392905,-0.103284649,-0.040944606,0.004463832,0.047934796,-0.358677621,-0.063207584,-0.038378323,0.035150472,0.062375881,-0.084960829,-1.270692114,0.121204434,0.027805601,-0.172116486,0.149496619,-0.083308282,-0.032346402,-0.092048323,0.114306691,0.06354275,-0.04936815,-0.14770355,-0.030931334,-0.147627975,0.002871297,-0.068368839,-0.281757838,-0.579066852,-0.502761614,-0.745975654,-0.897859964,-0.06937894,-0.438671604,-0.754277246,0.152025434,0.083668896,0.007131282,-0.2909933,-0.281818907,-0.223134986,0.057915933,0.181306949,-0.212042503,-0.04785811,-1.095451456,0.040147343,-0.660114928,-1.22268149,0.06984618,0.101517866,-0.034291771,0.088744391,-0.024333768,-0.150119928,0.08555811,-0.198742955,-0.916060551,-1.675300953,0.042859506,-1.263888853,-0.096586676,0.072996673,-0.550445477,-0.055839523
Breast Cancer,0.002192233,0.097313458,-0.269401677,-0.06975345,-0.724844756,0.037777527,-0.325710104,-0.105069593,-0.271039689,-0.054619042,0.113841202,0.035318201,-0.0060679,0.060332814,-0.302152635,-0.003857699,-0.043080985,-0.025722264,0.028313891,-0.117854642,-0.861850073,0.002230444,-0.256138738,-0.024138461,0.147223115,-0.123753285,-1.130165007,0.06040218,-0.325246423,-0.268476219,-0.072766241,-0.12458409,-0.114696499,-0.048213017,0.060706425,0.106415523,0.071071662,-0.080911005,-0.02902019,-0.023738311,-0.037863751,-0.018682268,-0.120278478,-0.824981269,-0.552928037,-0.264394825,-0.609567568,-0.031543038,-0.313612289,-0.351666504,0.127413728,-0.104835118,-0.027083757,-0.647505612,-0.303384416,-0.178559974,-0.162927659,0.179291148,-0.127303313,0.089659173,-0.779726627,-0.003101038,-0.261610978,-1.177281745,0.11805692,-0.014480038,-0.02428512,0.089303801,-0.002005461,-0.195537135,0.12453314,-0.281602544,-0.866329437,-1.528177947,0.001430842,-0.852918973,-0.111027604,-0.069017513,-0.440458927,-0.098102814
Bladder Cancer,-0.152522385,0.14368356,-0.022071527,-0.048152933,-0.588917,0.275102711,-0.381359843,-0.333685212,-0.133531662,-0.193298304,-0.083274722,0.089509662,0.047753163,0.013877086,-0.244038242,0.040691199,-0.084333441,-0.080473974,-0.20166383,-0.061545265,-0.213803531,-0.148320014,-0.237540174,0.020295004,0.094404979,-0.22520906,-1.548871262,0.13797269,-0.081754197,-0.139850761,0.011695003,-0.009717475,0.103268036,0.070615902,0.161685306,0.101766354,-0.000875222,-0.269341557,0.027665849,-0.162568376,-0.186105267,0.072524834,-0.012749532,-0.747692057,-1.987470995,-0.129620066,-0.217405046,0.126695184,-0.183624359,-0.503278206,0.118198301,0.130284268,-0.199570142,-0.180172017,-0.409071271,-0.155171994,-0.037980156,0.117142645,-0.073173423,0.236541835,-1.550252347,-0.163966077,-0.310069921,-1.248398027,-0.225182844,0.100557568,0.000501458,0.000315985,-0.277017967,-0.066746472,0.154345636,-0.340155358,-0.865218729,-2.658585937,-0.160911842,-0.886079544,-0.290874441,-0.048984632,-0.395471435,0.149603962
Breast Cancer,0.1149919,0.029754694,-0.372418576,0.074591095,-0.878585043,0.184608017,-0.3502799,-0.179093533,-0.382254433,-0.158131262,0.186877947,0.186813143,0.022803844,0.076320004,-0.265575795,-0.059385524,-0.168168389,-0.050721983,-0.086321505,-0.088291323,-0.326497859,0.142915828,-0.105354056,-0.019810543,0.06033539,-0.0810183,-1.306125313,0.107081518,-0.25909277,0.002671609,0.178101846,-0.125833655,0.200063803,0.114609758,0.07495686,0.062009486,0.12635833,-0.218949262,-0.064128169,0.025310486,-0.197306218,0.006239651,-0.178110205,-0.677415229,-0.985569809,-0.598749863,-0.202111716,-0.045974482,-0.402492642,-0.108174903,0.19809085,0.046694312,-0.11338405,-0.020130897,-0.20755782,-0.074681864,0.01534063,0.145507694,-0.080070787,0.160207654,-1.750553413,0.013058651,-0.284596512,-1.318531452,0.162947633,0.203986961,0.073278219,0.095006541,0.114759508,-0.116484653,0.008500962,-0.123941763,-0.644746401,-1.61217242,-0.023660511,-0.677282868,-0.08432292,-0.030149277,-0.653708217,-0.153218146
Head and Neck Cancer,0.022642161,0.3014253,-0.506922989,0.028489067,-0.846982924,0.201859324,-0.120595115,-0.347621873,-0.483404107,-0.418141604,0.176363774,-0.051512892,0.173058183,0.091170123,-0.331178901,0.172445525,-0.073352805,-0.19503481,0.24403613,0.069808964,-0.849871787,0.034765224,-0.348324294,0.033621237,0.004102167,-0.150362411,-1.112594762,0.059295935,-0.264972313,-0.118602365,0.156889107,-0.222176808,0.024451374,-0.072382259,0.226662601,-0.018494779,0.102192284,-0.421528459,0.210746544,0.215311053,-0.220495809,0.123411906,0.007640402,-0.94594861,-1.472256417,-0.167779177,-0.764129393,-0.004914235,-0.245378091,-0.091533465,0.135420044,0.138612008,-0.234577556,-0.79125114,-0.175876161,-0.072349148,-0.01251694,0.200268121,0.200910999,-0.043266999,-0.891090491,-0.182649045,-0.271869671,-1.199898195,0.177681608,0.298192877,-0.285924539,0.313689202,0.116219956,-0.258421578,0.164057916,-0.413084392,-0.974160768,-1.4585339,-0.015564738,-1.138521697,-0.245939402,-0.1320976,-0.558467149,0.119131108
Liver Cancer,0.065843229,0.059183594,-0.425557109,-0.012458897,-0.704900551,0.143520161,-0.26872481,-0.192425594,-0.139662941,-0.129441185,0.120620431,0.155509387,-0.03578408,-0.013745615,-0.301577404,-0.065193221,-0.095629725,0.049837406,0.04517656,-0.050054071,-0.67044082,0.079791007,-0.200437678,-0.187304641,0.062192798,-0.127185659,-1.269193093,0.055394397,-0.207556838,-0.095145629,-0.153487657,-0.187377748,0.031281021,-0.035391471,0.268355559,0.089270987,0.023162392,-0.221026326,-0.073332972,0.058045879,-0.049744872,0.066340087,0.01812527,-0.684287236,-0.358597342,-0.573160089,-0.514389462,-0.205894115,-0.344501689,-0.472266127,0.074612639,0.077412458,-0.227225129,-0.535047983,-0.137365478,-0.09838268,-0.010201612,0.068809227,-0.013682729,0.043761993,-0.901656075,-0.026464669,-0.215445222,-1.23613065,0.036492348,-0.012987908,-0.126003619,0.10086908,0.050920679,-0.14999114,-0.054029779,-0.044599879,-0.84606482,-1.644186164,-0.0949529,-1.134257944,-0.144289059,0.051129936,-0.656853607,0.090702819
Gastric Cancer,-0.122689365,-0.050141776,-0.141584249,0.115289254,-0.903959154,0.026186354,-0.205885646,-0.094189058,-0.515397227,-0.177276746,0.158634564,0.119615696,0.15615201,0.090714477,-0.524997243,0.09898731,-0.281302892,0.172469184,0.076507095,0.067820272,-0.875191354,0.103031887,-0.799654963,-0.044298269,0.103918595,0.094527166,-1.25122469,-0.033266906,-0.156017141,-0.424311848,-0.002403398,-0.173264239,-0.244259926,-0.137078539,0.175871513,0.091879262,0.161081672,-0.167588868,-0.012055209,0.14328798,-0.033903507,-0.119798384,-0.038483858,-0.697122008,-0.802069359,-0.912930386,-0.939732105,-0.137575171,-0.487064608,-0.497140702,0.236844723,0.169540947,-0.438802481,-0.620263114,-0.291438595,-0.275055092,-0.274149217,0.169824203,0.077348563,0.110377575,-0.880539347,-0.102877138,-0.578289854,-1.237558996,-0.081748546,0.055993865,-0.027038682,0.001495224,-0.01498379,-0.082560582,0.08596459,-0.267960182,-0.907811751,-1.348636219,-0.047004157,-0.762989494,-0.099237306,0.076029234,-0.297547805,-0.095663393
Brain Cancer,0.006572586,0.088248654,-0.232542819,-0.139119192,-0.640874308,-0.016288348,-0.094160252,0.025807239,-0.43854101,-0.079051081,0.114000055,0.002899416,0.077469044,0.0367693,-0.349467061,0.03839834,-0.088676627,0.02528462,0.005288832,-0.079356675,-0.35790333,0.072471572,-0.127222877,-0.095327724,-0.143598279,-0.048245678,-1.133842218,0.111049289,0.055841269,-0.355226457,-0.201785219,-0.09384985,-0.173075744,0.251790233,0.107060647,0.005626941,-0.020655881,-0.179430274,0.019417314,-0.012080265,-0.035207381,-0.008403977,-0.078853897,-0.618000851,-1.036765151,-0.198507372,-0.739896936,-0.027656923,-0.263427444,-0.445120216,-0.064276534,0.027121505,0.000910059,-0.784963483,-0.121038329,-0.142322339,-0.132074468,0.094975534,0.163034235,0.000717793,-1.132509868,0.103688549,-0.631160124,-1.283767406,0.053670931,0.081539105,-0.167999986,0.06333605,-0.02346776,-0.004241988,0.01983114,-0.161076158,-0.8733199,-1.568649077,-0.14044766,-1.252358859,0.072502107,-0.299043838,-0.50244073,-0.066341584
Gastric Cancer,0.024575649,0.222972966,-0.231319841,-0.123961947,-0.617227702,0.011600201,-0.002321589,-0.230901191,-0.25630929,-0.236913345,0.162231137,-0.008905767,0.081825452,0.023766555,-0.154397938,-0.070232962,-0.144982916,0.104566601,0.116450352,-0.103154667,-0.579537048,0.102486453,-0.020217079,-0.046542157,0.066703442,-0.101941508,-1.233176175,0.110089168,-0.449749834,-0.009214253,-0.005211693,0.019692931,0.141234777,0.16409034,0.11920459,0.122048021,-0.042230905,-0.083798833,-0.037143136,0.272988128,0.043787462,-0.061199586,-0.161378462,-0.63012509,-0.423047515,-0.352755266,-0.202684541,-0.250572999,-0.485418562,-0.264799096,0.101773947,-0.011202746,0.056174161,-0.320882618,-0.245926037,-0.036711434,-0.126380286,0.267530092,-0.05613157,0.055834162,-1.045466094,-0.0964567,-0.044097277,-1.354617416,0.143764748,0.234167092,-0.084464691,0.123928489,0.081112695,-0.234104288,-0.020026618,-0.262217726,-0.591517098,-1.695801571,-0.003699006,-1.012025963,-0.121788064,-0.092845585,-0.434047495,-0.073487477
Lung Cancer,0.144726047,0.09701344,-0.358551775,0.235544236,-0.713973242,0.052908196,-0.314185369,-0.162752376,-0.428556524,-0.127197402,0.129270491,-0.02837367,0.030517036,-0.109764072,-0.09483962,-0.092198981,-0.092817854,0.039202085,0.138646022,-0.140020528,-1.135914237,-0.108316488,-0.535063538,-0.299891037,-0.134311028,-0.175735108,-1.34477404,0.052336905,-0.435766578,-0.131983432,0.146346686,-0.116491102,0.093054097,0.068538151,0.228641784,0.171135293,0.046680022,-0.281465514,0.083837625,-0.40547916,0.00411145,-0.142360745,-0.016834269,-0.633153157,-0.965594638,-0.687497331,-0.718744501,-0.194554889,-0.469765178,-0.275161361,0.130920141,0.061125103,0.051954022,-0.226275443,-0.260965869,-0.181218875,-0.179422458,0.205755655,-0.384560639,-0.07966651,-0.945552731,0.008021036,-0.20157337,-1.27989691,0.144522349,0.013480769,0.063212985,0.110226152,-0.045307178,-0.181671853,-0.027415844,-0.178689103,-0.818366609,-1.507801832,0.123523874,-0.870025323,0.01452736,-0.117247155,-0.366650675,-0.205913603
Bone Cancer,0.058720529,0.114717501,-0.177549347,-0.041388949,-0.933177647,-0.104953365,-0.242511578,-0.15496153,-0.456792877,-0.075519914,-0.092180284,-0.000990733,-0.018188312,0.100970793,-0.298208647,0.037302939,-0.012092651,0.072090875,-0.001975308,0.011084701,-0.632900107,0.020203044,-0.120579385,-0.092667396,-0.027311026,-0.212958697,-1.063104193,0.066339786,0.030319698,-0.197061415,-0.06538663,-0.231543374,-0.493563402,0.047923372,0.06705761,0.084836672,-0.019383703,-0.197525128,-0.028657955,-0.129753172,-0.095938771,-0.034194969,-0.051653033,-0.497113083,-0.883945168,-0.179258083,-1.065329368,0.077244256,-0.180135108,-0.352617626,0.11112772,0.096289616,-0.243359895,-0.439513803,-0.054326804,-0.218857616,-0.207280669,0.136650254,0.037287241,0.129548659,-1.091160755,0.019228686,-0.973182945,-1.096423688,0.132255022,-0.012908863,0.02539096,0.05569176,0.083251958,-0.095810499,-0.01798859,-0.001646259,-1.065615269,-1.482852292,0.146654446,-1.155453815,-0.102266137,0.070484314,-0.451296784,-0.066502028
Bladder Cancer,0.106767551,0.057803539,-0.30766228,0.016253415,-0.911982539,-0.011093844,-0.162926668,-0.195099923,-0.308854347,-0.08449095,0.09868189,-0.08376217,0.045068877,0.046676846,-0.279656539,-0.056734587,-0.047180471,0.029216977,0.05391348,-0.041118203,-0.740429701,0.003179108,-0.528648554,-0.068721034,0.032056697,-0.220125699,-1.334893704,0.034026829,-0.485086306,-0.155660771,0.042258105,-0.242728943,0.044049111,0.058963218,0.114118856,0.083691659,0.014750511,-0.263795466,-0.089782055,0.066560845,-0.073967599,-0.040057037,-0.056130801,-0.575476762,-1.094861079,-0.528811206,-0.62520967,-0.136253547,-0.287912804,-0.278347514,0.098803081,0.074061986,0.008370051,-0.253163646,-0.261430252,-0.233050301,-0.092168354,0.165515039,-0.117027634,0.013468321,-1.00090062,-0.029971709,-0.218195265,-1.079391401,0.088529802,0.040764852,0.048753673,0.102603851,-0.011377291,-0.199135885,-0.036885857,-0.15220398,-0.95385947,-1.979823895,-0.067283265,-1.021277392,-0.045777747,-0.149101046,-0.413421894,-0.024244634
Brain Cancer,-0.081591673,0.039948898,-0.464162666,-0.081279884,-0.860769935,0.002620495,-0.302371893,-0.255134452,-0.197257846,-0.063673953,5.09E-05,0.107697003,0.068472361,0.031328823,-0.578567302,0.054646136,-0.312972039,0.138974697,0.077064554,-0.019729316,-0.465570177,0.189446968,0.013650067,-0.096533825,0.010857206,-0.291939791,-1.313720031,0.087724893,-0.269758254,-0.257083981,0.114445281,-0.173782391,-0.041867794,0.059474792,0.057730032,0.02525416,0.094222758,0.059138971,-0.003733136,-0.125375964,0.12593438,-0.10326755,-0.097000494,-0.971898303,-0.51725019,-0.478689663,-0.897609119,-0.513711414,-0.176024154,-0.287879331,0.125950294,0.065621239,-0.101427903,-0.615880189,-0.151451308,-0.236238511,-0.158121898,-0.035103643,-0.231861737,0.134661101,-1.026741482,-0.167376683,-0.326105982,-1.375359479,0.323483308,0.094144892,-0.213810144,0.098081074,0.085445373,-0.133742885,-0.003989047,-0.1824844,-0.988217647,-1.584258174,0.032170765,-0.806284591,-0.020251326,-0.514476543,-0.180905224,-0.169620097
Lung Cancer,0.16413087,-0.034536071,-0.633098351,-0.118560345,-0.74730181,-0.009224016,-0.502088119,-0.51070473,-0.280601876,-0.173322568,0.27898916,0.132724799,0.007662202,-0.213805777,-0.399436857,-0.292891701,-0.374381027,-0.149716296,0.257598476,-0.170944655,-0.362367515,-0.046205844,-0.565230892,-0.296795811,0.157269237,-0.075235364,-1.305428892,0.255357738,-0.386548257,0.076146941,0.182984535,-0.443380172,-0.05459008,0.023125253,0.235968625,0.142284267,0.06020744,-0.214705978,-0.022405552,0.019277847,-0.418550375,0.001418175,0.180492345,-0.600283495,-0.733953401,-0.212538452,-0.343002249,-0.089014744,-0.355619382,-0.384723762,0.194296212,-0.042499659,-0.048636683,-0.277654193,-0.172876262,-0.223419839,-0.157255936,0.297078914,0.06103909,0.011108918,-1.433828964,-0.137514795,-0.184175298,-1.164449182,0.212407271,-0.169210521,0.008591649,0.054560513,-0.002341791,-0.21397261,0.071821308,-0.068544864,-0.796197237,-1.599927263,-0.00559579,-1.438925464,-0.119417337,-0.203755712,-0.667257353,-0.150750271
Gastric Cancer,0.092903548,0.040681614,-0.352200463,0.0615501,-0.888385106,0.094920326,-0.384452116,-0.073601171,-0.394942864,-0.101268535,0.071858793,0.136682211,0.07809991,-0.117414234,-0.351701669,0.109961412,-0.259764011,-0.020403952,0.119184056,-0.305830673,-0.81864531,-0.039016786,-0.173442361,-0.118706107,0.184071016,-0.272922242,-1.286505725,0.185459434,-0.659598078,-0.226475107,0.041062046,-0.134171186,-0.041673335,0.069126702,0.098849321,0.054467493,0.180262974,-0.242490531,-0.003520674,-0.105121147,-0.041555654,0.180956477,-0.097696639,-0.803665066,-1.062027637,-0.607376014,-0.882071583,-0.101048129,-0.343695807,-0.513862787,0.300874659,0.083801333,-0.119159553,-0.651030926,-0.106940038,-0.24915105,-0.079569879,0.217782315,0.089110383,0.062112767,-1.131669026,-0.215760446,-0.401856509,-1.246816325,0.051710202,-0.011991633,0.050139544,0.143253,-0.004593347,-0.22036419,-0.097154498,-0.303970011,-1.012166099,-1.458306683,0.065575362,-0.697000611,-0.193915015,0.123888967,-0.525248059,0.147510951
